1	63
1	174
1	224
1	497
1	704
2	1183
2	1542
2	1564
2	1741
2	1854
3	46
3	70
3	185
3	364
3	695
4	59
4	74
4	91
4	95
4	156
5	409
5	822
5	825
5	946
5	1194
6	320
6	859
6	867
6	1001
6	1135
7	30
7	52
7	59
7	86
7	88
8	18
8	46
8	59
8	282
8	435
9	18
9	59
9	144
9	282
9	435
10	63
10	68
10	78
10	95
10	96
11	198
11	1113
11	1326
11	1350
11	1602
12	825
12	1184
12	1432
12	1507
12	1901
13	144
13	224
13	320
13	678
13	753
14	29
14	112
14	126
14	130
14	131
15	94
15	284
15	383
15	396
15	820
16	94
16	124
16	383
16	416
16	495
17	71
17	144
17	406
17	849
17	1160
18	11
18	14
18	35
18	71
18	464
19	1795
19	1961
19	2226
19	2273
19	2453
20	696
20	717
20	891
20	1003
20	1230
21	68
21	96
21	145
21	319
21	365
22	136
22	202
22	397
22	670
22	677
23	52
23	68
23	88
23	96
23	250
24	59
24	86
24	104
24	141
24	174
25	63
25	68
25	95
25	124
25	137
26	68
26	243
26	483
26	822
26	942
27	68
27	241
27	243
27	251
27	822
28	136
28	254
28	492
28	595
28	670
29	63
29	71
29	96
29	116
29	184
30	243
30	251
30	671
30	695
30	822
31	5
31	22
31	58
31	86
31	96
32	87
32	123
32	265
32	269
32	281
33	23
33	73
33	78
33	130
33	184
34	136
34	254
34	319
34	325
34	414
35	319
35	930
35	1236
35	1459
35	1467
36	265
36	619
36	677
36	940
36	950
37	108
37	598
37	671
37	727
37	894
38	40
38	58
38	116
38	272
38	278
39	78
39	86
39	95
39	215
39	253
40	40
40	70
40	143
40	250
40	272
41	30
41	116
41	241
41	253
41	265
42	68
42	124
42	137
42	179
42	180
43	68
43	96
43	124
43	185
43	278
44	46
44	68
44	95
44	96
44	103
45	18
45	46
45	59
45	144
45	594
46	18
46	59
46	106
46	149
46	219
47	18
47	32
47	46
47	59
47	144
48	30
48	63
48	179
48	180
48	181
49	40
49	124
49	251
49	492
49	671
50	397
50	619
50	892
50	1204
50	1695
51	1795
51	1961
51	2226
51	2273
51	2453
52	104
52	557
52	633
52	643
52	757
53	89
53	124
53	134
53	135
53	144
54	84
54	106
54	135
54	147
54	148
55	210
55	399
55	591
55	759
55	1162
56	124
56	144
56	265
56	637
56	679
57	1890
57	3140
57	2700
57	3077
57	2922
58	78
58	175
58	497
58	691
58	755
59	68
59	87
59	149
59	161
59	219
60	243
60	678
60	1012
60	1014
60	1133
61	32
61	39
61	284
61	694
61	838
62	185
62	252
62	304
62	335
62	365
63	202
63	670
63	677
63	759
63	796
64	143
64	1043
64	1051
64	1194
64	1255
